,designation,period,provenience
P228337,N 4755,Old Babylonian,Nippur
P228338,N 4761,Old Babylonian,Nippur
P228339,N 4774 + N 4874,Old Babylonian,Nippur
P228340,N 4786,Neo-Babylonian,Nippur
P228341,N 4803,Old Babylonian,Nippur
P228342,Ist Ni 04804,Old Babylonian,Nippur
P228343,N 4807,Old Babylonian,Nippur
P228344,N 4818,Old Babylonian,Nippur
P228345,N 5001,Old Babylonian,Nippur
P228346,N 5020,Old Babylonian,Nippur
P228347,N 5022,Old Babylonian,Nippur
P228348,N 5034,Old Babylonian,Nippur
P228349,N 5036,Old Babylonian,Nippur
P228350,N 5039 + N 5059,Old Babylonian,Nippur
P228351,N 5040,Old Babylonian,Nippur
P228352,N 5041,Old Babylonian,Nippur
P228353,N 5052,Old Babylonian,Nippur
P228354,N 5053 + N 5066,Old Babylonian,Nippur
P228355,N 5054,Old Babylonian,Nippur
P228356,N 5055,Old Babylonian,Nippur
P228357,N 5057,Old Babylonian,Nippur
P228358,N 5058,Old Babylonian,Nippur
P228359,N 5061 + N 5081,Old Babylonian,Nippur
P228360,N 5062,Old Babylonian,Nippur
P228361,"AfO 29/30, 033, N 5063",Old Babylonian,Nippur
P228363,N 5070,Old Babylonian,Nippur
P228364,N 5083,Old Babylonian,Nippur
P228365,N 5094,Old Babylonian,Nippur
P228366,N 5096,Old Babylonian,Nippur
P228367,N 5104,Old Babylonian,Nippur
P228368,N 5107,Old Babylonian,Nippur
P228369,N 5116,Old Babylonian,Nippur
P228370,N 5117,Old Babylonian,Nippur
P228371,N 5120,Old Babylonian,Nippur
P228372,N 5121,Old Babylonian,Nippur
P228373,N 5122 + N 5693,Old Babylonian,Nippur
P228375,"EEN 317, N 5126",Old Babylonian,Nippur
P228377,N 5133,Old Babylonian,Nippur
P228379,"AfO 29/30, 033, N 5135",Old Babylonian,Nippur
P228380,N 6054,Old Babylonian,Nippur
P228381,N 5139,Old Babylonian,Nippur
P228382,"EEN 317, N 5140+",Old Babylonian,Nippur
P228383,N 5142,Old Babylonian,Nippur
P228384,"EEN 304, N 5143",Old Babylonian,Nippur
P228385,N 5145,Old Babylonian,Nippur
P228386,N 5148,Old Babylonian,Nippur
P228387,N 5150,Old Babylonian,Nippur
P228388,N 5151,Old Babylonian,Nippur
P228389,N 5152,Old Babylonian,Nippur
P228390,N 5154,Old Babylonian,Nippur
P228391,N 5155,Old Babylonian,Nippur
P228392,N 5157,Old Babylonian,Nippur
P228393,N 5158,Old Babylonian,Nippur
P228394,N 5159,Old Babylonian,Nippur
P228395,N 5162,Old Babylonian,Nippur
P228396,N 5169,Old Babylonian,Nippur
P228397,N 5171,Old Babylonian,Nippur
P228398,N 5172,Old Babylonian,Nippur
P228399,N 5173,Old Babylonian,Nippur
P228400,"CUSAS 12, 6.4.2 G",Old Babylonian,Nippur
P228401,N 5175,Old Babylonian,Nippur
P228402,N 5176,Old Babylonian,Nippur
P228403,"EEN 317, N 5186",Old Babylonian,Nippur
P228405,N 5193,Old Babylonian,Nippur
P228406,N 5194,Old Babylonian,Nippur
P228407,"EEN 306, N 5196",Old Babylonian,Nippur
P228408,"EEN 311, N 5201",Old Babylonian,Nippur
P228409,N 5209,Old Babylonian,Nippur
P228410,N 5210,Old Babylonian,Nippur
P228411,N 5212,Old Babylonian,Nippur
P228412,N 1515,Old Babylonian,Nippur
P228413,"AfO 29/30, 033, N 5217",Old Babylonian,Nippur
P228415,"EEN 294, N 5223",Old Babylonian,Nippur
P228416,N 5224,Old Babylonian,Nippur
P228417,N 5226,Old Babylonian,Nippur
P228418,N 5227,Old Babylonian,Nippur
P228419,"EEN 330, N 5229",Old Babylonian,Nippur
P228420,N 5234,Old Babylonian,Nippur
P228421,N 5236,Old Babylonian,Nippur
P228424,N 5243,Old Babylonian,Nippur
P228425,N 5244,Old Babylonian,Nippur
P228426,"EEN 305, N 5246",Old Babylonian,Nippur
P228427,N 5249,Old Babylonian,Nippur
P228428,"EEN 293, N 5260",Old Babylonian,Nippur
P228429,N 5272,Old Babylonian,Nippur
P228430,N 5276,Old Babylonian,Nippur
P228431,N 5277,Old Babylonian,Nippur
P228433,N 5282,Old Babylonian,Nippur
P228434,N 5297,Old Babylonian,Nippur
P228438,N 5329,Old Babylonian,Nippur
P228439,N 5332,Old Babylonian,Nippur
P228440,N 5333,Old Babylonian,Nippur
P228441,N 5335 + N 5426,Old Babylonian,Nippur
P228442,"EEN 319, N 5342",Old Babylonian,Nippur
P228443,N 5343 + N 5361 + N 5691,Old Babylonian,Nippur
P228444,N 5344,Old Babylonian,Nippur
P228445,N 5347,Old Babylonian,Nippur
P228446,N 5351,Old Babylonian,Nippur
P228447,N 5355,Old Babylonian,Nippur
P228448,N 5357,Old Babylonian,Nippur
P228449,"AfO 29/30, 034, N 5358",Old Babylonian,Nippur
P228450,N 5364,Old Babylonian,Nippur
P228451,N 5366,Old Babylonian,Nippur
P228452,"EEN 307, N 5370",Old Babylonian,Nippur
P228453,"AOAT 362, pls.08,13 N 5371",Old Babylonian,Nippur
P228454,N 5384,Old Babylonian,Nippur
P228455,N 5389,Old Babylonian,Nippur
P228456,N 5395,Old Babylonian,Nippur
P228457,"EEN 310, N 5396",Old Babylonian,Nippur
P228458,"AfO 29/30, 034, N 5399",Old Babylonian,Nippur
P228460,N 5416,Old Babylonian,Nippur
P228461,N 5423,Old Babylonian,Nippur
P228462,N 5424,Old Babylonian,Nippur
P228463,N 5425,Old Babylonian,Nippur
P228464,N 5442,Old Babylonian,Nippur
P228465,N 5443,Old Babylonian,Nippur
P228466,N 5448,Old Babylonian,Nippur
P228467,N 5450,Old Babylonian,Nippur
P228468,N 5452,Old Babylonian,Nippur
P228469,N 5454,Old Babylonian,Nippur
P228470,"EEN 300, N 5456",Old Babylonian,Nippur
P228471,N 5458,Old Babylonian,Nippur
P228474,"EEN 308, N 5502",Old Babylonian,Nippur
P228475,N 5506,Old Babylonian,Nippur
P228476,N 5510,Old Babylonian,Nippur
P228477,N 5514,Old Babylonian,Nippur
P228478,N 5518,Old Babylonian,Nippur
P228479,N 5519,Old Babylonian,Nippur
P228480,"EEN 320, N 5523",Old Babylonian,Nippur
P228481,"AfO 29/30, 034, N 5527",Old Babylonian,Nippur
P228482,N 5532,Old Babylonian,Nippur
P228483,N 5536,Old Babylonian,Nippur
P228484,N 5537 + N 5781,Old Babylonian,Nippur
P228485,N 5539,Old Babylonian,Nippur
P228486,N 5540,Old Babylonian,Nippur
P228487,N 5542,Old Babylonian,Nippur
P228488,N 5543,Old Babylonian,Nippur
P228489,N 5544,Old Babylonian,Nippur
P228490,N 5545,Old Babylonian,Nippur
P228492,N 5547,Old Babylonian,Nippur
P228493,"EEN 317, N 5552",Old Babylonian,Nippur
P228494,N 5553,Old Babylonian,Nippur
P228495,N 5557,Old Babylonian,Nippur
P228496,N 5561,Old Babylonian,Nippur
P228497,"EEN 320, N 5564",Old Babylonian,Nippur
P228498,N 5572,Old Babylonian,Nippur
P228499,N 5573,Old Babylonian,Nippur
P228500,"EEN 030, N 5589",Old Babylonian,Nippur
P228501,N 5591,Old Babylonian,Nippur
P228502,N 5592,Old Babylonian,Nippur
P228503,N 5606,Old Babylonian,Nippur
P228504,N 5609,Old Babylonian,Nippur
P228505,"EEN 319, N 5614",Old Babylonian,Nippur
P228506,N 5615,Old Babylonian,Nippur
P228507,N 5617,Old Babylonian,Nippur
P228508,N 5618,Old Babylonian,Nippur
P228510,N 5628,Old Babylonian,Nippur
P228511,N 5631,Old Babylonian,Nippur
P228512,N 5634,Old Babylonian,Nippur
P228513,N 5636,Old Babylonian,Nippur
P228514,N 5638,Old Babylonian,Nippur
P228515,N 5644,Old Babylonian,Nippur
P228516,N 5666,Old Babylonian,Nippur
P228517,N 5795,Old Babylonian,Nippur
P228518,N 5827,Old Babylonian,Nippur
P228519,N 7013,Old Babylonian,Nippur
P228520,N 7020,Old Babylonian,Nippur
P228522,(part of P230552),Old Babylonian,Nippur
P228523,UM 29-13-002 + N 3737,Old Babylonian,Nippur
P228524,UM 29-13-008,Old Babylonian,Nippur
P228525,UM 29-13-010,Old Babylonian,Nippur
P228526,"AfO 29/30, 030, UM 29-13-011",Old Babylonian,Nippur
P228527,UM 29-13-012,Old Babylonian,Nippur
P228528,"AfO 29/30, 030, UM 29-13-022",Old Babylonian,Nippur
P228529,"AfO 29/30, 030, UM 29-13-023",Old Babylonian,Nippur
P228530,UM 29-13-073,Old Babylonian,Nippur
P228531,UM 29-13-074,Old Babylonian,Nippur
P228532,"EEN 310, UM 29-13-075",Old Babylonian,Nippur
P228533,UM 29-13-076,Old Babylonian,Nippur
P228534,UM 29-13-077,Old Babylonian,Nippur
P228535,UM 29-13-078,Old Babylonian,Nippur
P228536,UM 29-13-079,Middle Babylonian,Nippur
P228537,UM 29-13-082,Old Babylonian,Nippur
P228538,"AOAT 362, pl.26",Old Babylonian,Nippur
P228539,"AfO 29/30, 030, UM 29-13-089",Old Babylonian,Nippur
P228540,UM 29-13-095,Old Babylonian,Nippur
P228541,UM 29-13-140,Old Babylonian,Nippur
P228542,"AfO 29/30, 031, UM 29-13-159",Old Babylonian,Nippur
P228543,"EEN 038, UM 29-13-163",Old Babylonian,Nippur
P228544,UM 29-13-181,Old Babylonian,Nippur
P228545,UM 29-13-183,Old Babylonian,Nippur
P228546,UM 29-13-184,Old Babylonian,Nippur
P228547,UM 29-13-193,Old Babylonian,Nippur
P228548,UM 29-13-242,Old Babylonian,Nippur
P228549,UM 29-13-244,Old Babylonian,Nippur
P228551,UM 29-13-260,Old Babylonian,Nippur
P228552,UM 29-13-261,Old Babylonian,Nippur
P228553,UM 29-13-265,Old Babylonian,Nippur
P228554,UM 29-13-272,Old Babylonian,Nippur
P228556,"AfO 29/30, 031, UM 29-13-388",Old Babylonian,Nippur
P228557,"AfO 29/30, 031, UM 29-13-390",Old Babylonian,Nippur
P228558,"AfO 29/30, 031, UM 29-13-393",Old Babylonian,Nippur
P228559,UM 29-13-396,Old Babylonian,Nippur
P228560,UM 29-13-404,Old Babylonian,Nippur
P228561,UM 29-13-420,Old Babylonian,Nippur
P228562,UM 29-13-425,Old Babylonian,Nippur
P228563,UM 29-13-446,Old Babylonian,Nippur
P228564,UM 29-13-447,Old Babylonian,Nippur
P228565,UM 29-13-448,Old Babylonian,Nippur
P228566,UM 29-13-449,Old Babylonian,Nippur
P228567,UM 29-13-450,Old Babylonian,Nippur
P228568,UM 29-13-451,Old Babylonian,Nippur
P228569,UM 29-13-452,Old Babylonian,Nippur
P228570,UM 29-13-453,Old Babylonian,Nippur
P228571,UM 29-13-459,Old Babylonian,Nippur
P228572,UM 29-13-467,Old Babylonian,Nippur
P228573,"AfO 29/30, 031, UM 29-13-506",Old Babylonian,Nippur
P228574,UM 29-13-507,Old Babylonian,Nippur
P228575,UM 29-13-512,Old Babylonian,Nippur
P228576,UM 29-13-517,Old Babylonian,Nippur
P228578,UM 29-13-531,Old Babylonian,Nippur
P228579,UM 29-13-540,Old Babylonian,Nippur
P228580,UM 29-13-566,Old Babylonian,Nippur
P228583,UM 29-13-607,Old Babylonian,Nippur
P228584,UM 29-13-623,Old Babylonian,Nippur
P228585,UM 29-13-624,Old Babylonian,Nippur
P228586,UM 29-13-648,Middle Babylonian,Nippur
P228587,"AfO 29/30, 031, UM 29-13-674",Old Babylonian,Nippur
P228588,"MSL 14, 147",Middle Babylonian,Nippur
P228589,UM 29-13-705,Old Babylonian,Nippur
P228591,UM 29-13-723,Old Babylonian,Nippur
P228592,HS 1878 + UM 29-13-734,Old Babylonian,Nippur
P228593,"AfO 29/30, 031, UM 29-13-741",Old Babylonian,Nippur
P228594,UM 29-13-810,Old Babylonian,Nippur
P228595,UM 29-13-921,Old Babylonian,Nippur
P228596,"JCS 52, 77-78",Middle Babylonian,Nippur
P228597,"EEN 317, UM 29-13-999",Old Babylonian,Nippur
P228598,"EEN 319, UM 29-15-022",Old Babylonian,Nippur
P228599,UM 29-15-059,Old Babylonian,Nippur
P228600,UM 29-15-073,Old Babylonian,Nippur
P228601,UM 29-15-079,Old Babylonian,Nippur
P228602,"AOAT 362, pl.20 UM 29-15-90",Old Babylonian,Nippur
P228603,UM 29-15-109,Old Babylonian,Nippur
P228604,UM 29-15-110,Old Babylonian,Nippur
P228605,UM 29-15-119,Old Babylonian,Nippur
P228606,UM 29-15-120,Old Babylonian,Nippur
P228607,UM 29-15-124,Old Babylonian,Nippur
P228608,UM 29-15-134,Neo-Babylonian,Nippur
P228609,UM 29-15-140,Old Babylonian,Nippur
P228610,UM 29-15-145,Neo-Babylonian,Nippur
P228611,UM 29-15-179,Old Babylonian,Nippur
P228612,UM 29-15-180,Old Babylonian,Nippur
P228613,UM 29-15-214,Old Babylonian,Nippur
P228614,UM 29-15-215,Old Babylonian,Nippur
P228615,UM 29-15-232,Old Babylonian,Nippur
P228616,UM 29-15-234,Old Babylonian,Nippur
P228619,UM 29-15-258,Old Babylonian,Nippur
P228620,UM 29-15-262,Old Babylonian,Nippur
P228621,UM 29-15-289,Old Babylonian,Nippur
P228622,UM 29-15-308,Old Babylonian,Nippur
P228623,UM 29-15-311,Old Babylonian,Nippur
P228624,"EEN 310, UM 29-15-314+",Old Babylonian,Nippur
P228625,UM 29-15-332,Old Babylonian,Nippur
P228626,UM 29-15-342,Old Babylonian,Nippur
P228627,UM 29-15-346,Old Babylonian,Nippur
P228629,"MSL 16, 151 H",Middle Babylonian,Nippur
P228632,UM 29-15-375,Old Babylonian,Nippur
P228633,UM 29-15-398,Old Babylonian,Nippur
P228634,UM 29-15-400,Old Babylonian,Nippur
P228635,UM 29-15-401,Old Babylonian,Nippur
P228636,UM 29-15-406,Old Babylonian,Nippur
P228637,UM 29-15-430,Old Babylonian,Nippur
P228638,UM 29-15-440,Old Babylonian,Nippur
P228639,UM 29-15-442,Old Babylonian,Nippur
P228640,UM 29-15-449,Old Babylonian,Nippur
P228641,UM 29-15-451,Old Babylonian,Nippur
P228642,UM 29-15-453,Old Babylonian,Nippur
P228643,UM 29-15-459,Old Babylonian,Nippur
P228644,N 4271 + UM 29-15-460,Old Babylonian,Nippur
P228645,UM 29-15-510,Old Babylonian,Nippur
P228646,UM 29-15-513,Old Babylonian,Nippur
P228647,UM 29-15-518,Old Babylonian,Nippur
P228648,"EEN 307, UM 29-15-526",Old Babylonian,Nippur
P228649,"AfO 29/30, 031, UM 29-15-532",Old Babylonian,Nippur
P228651,UM 29-15-536,Old Babylonian,Nippur
P228652,"AfO 29/30, 031, UM 29-15-562",Old Babylonian,Nippur
P228653,UM 29-15-564,Old Babylonian,Nippur
P228654,UM 29-15-578,Old Babylonian,Nippur
P228655,UM 29-15-581,Old Babylonian,Nippur
P228656,UM 29-15-582,Old Babylonian,Nippur
P228657,UM 29-15-607,Old Babylonian,Nippur
P228658,UM 29-15-610,Old Babylonian,Nippur
P228659,"EEN 320, UM 29-15-620",Old Babylonian,Nippur
P228660,UM 29-15-633,Neo-Babylonian,Nippur
P228661,UM 29-15-634,Old Babylonian,Nippur
P228662,UM 29-15-637,Old Babylonian,Nippur
P228663,UM 29-15-641,Old Babylonian,Nippur
P228665,"EEN 320, UM 29-15-645",Old Babylonian,Nippur
P228666,UM 29-15-648,Old Babylonian,Nippur
P228667,UM 29-15-652,Old Babylonian,Nippur
P228668,UM 29-15-659,Old Babylonian,Nippur
P228669,"BagM 28, 200 17",Middle Babylonian,Nippur
P228670,UM 29-15-735,Old Babylonian,Nippur
P228671,UM 29-15-736,Old Babylonian,Nippur
P228672,UM 29-15-738,Old Babylonian,Nippur
P228673,UM 29-15-739,Old Babylonian,Nippur
P228674,"AfO 29/30, 031, UM 29-15-744",Old Babylonian,Nippur
P228675,UM 29-15-749,Old Babylonian,Nippur
P228676,UM 29-15-750,Old Babylonian,Nippur
P228677,UM 29-15-753,Old Babylonian,Nippur
P228678,UM 29-15-773,Old Babylonian,Nippur
P228679,UM 29-15-820,Old Babylonian,Nippur
P228680,UM 29-15-828,Old Babylonian,Nippur
P228681,UM 29-15-835,Old Babylonian,Nippur
P228683,"JCS 52, 89: 5",Middle Babylonian,Nippur
P228684,"AfO 29/30, 032, UM 29-15-851",Old Babylonian,Nippur
P228685,"AfO 29/30, 032, UM 29-15-852",Old Babylonian,Nippur
P228686,UM 29-15-856,Old Babylonian,Nippur
P228687,UM 29-15-888,Old Babylonian,Nippur
P228688,UM 29-15-891,Old Babylonian,Nippur
P228689,UM 29-15-938,Old Babylonian,Nippur
P228690,UM 29-15-939,Old Babylonian,Nippur
P228691,UM 29-15-945,Old Babylonian,Nippur
P228692,UM 29-15-964,Old Babylonian,Nippur
P228693,"JCS 52, 93: 19",Middle Babylonian,Nippur
P228694,UM 29-15-977 + UM 29-16-586,Old Babylonian,Nippur
P228695,"EEN 320, UM 29-16-001",Old Babylonian,Nippur
P228696,UM 29-16-011 + UM 29-16-034 + N 7121,Old Babylonian,Nippur
P228697,UM 29-16-012,Old Babylonian,Nippur
P228698,UM 29-16-013,Old Babylonian,Nippur
P228699,UM 29-16-014,Old Babylonian,Nippur
P228700,UM 29-16-031,Old Babylonian,Nippur
P228701,UM 29-16-040,Old Babylonian,Nippur
P228702,UM 29-16-046,Old Babylonian,Nippur
P228703,"EEN 258, UM 29-16-056",Old Babylonian,Nippur
P228704,"FTS, p. 112 fig. 13",Old Babylonian,Nippur
P228705,UM 29-16-105,Old Babylonian,Nippur
P228706,UM 29-16-107,Old Babylonian,Nippur
P228708,"AfO 29/30, 032, UM 29-16-146",Old Babylonian,Nippur
P228709,UM 29-16-148,Old Babylonian,Nippur
P228711,UM 29-16-202 + UM 29-16-207 + UM 29-16-513 + N 1527,Old Babylonian,Nippur
P228712,UM 29-16-205,Old Babylonian,Nippur
P228713,N 6249 + UM 29-16-206,Old Babylonian,Nippur
P228714,UM 29-16-209,Old Babylonian,Nippur
P228715,UM 29-16-215 + UM 29-16-216,Neo-Babylonian,Nippur
P228719,UM 29-16-226,Old Babylonian,Nippur
P228720,N 2673 + N 3427 + N 3459 + UM 29-16-227,Old Babylonian,Nippur
P228721,UM 29-16-234 + UM 29-16-236 + UM 29-16-268 + N 1892 + N 3339 (+) UM 29-13-686,Old Babylonian,Nippur
P228722,UM 29-16-239,Old Babylonian,Nippur
P228724,UM 29-16-261,Old Babylonian,Nippur
P228725,UM 29-16-263,Old Babylonian,Nippur
P228726,UM 29-16-266 (+) N 0972,Old Babylonian,Nippur
P228727,UM 29-16-267,Old Babylonian,Nippur
P228729,UM 29-16-270,Old Babylonian,Nippur
P228730,N 3999 (+) UM 29-16-271,Old Babylonian,Nippur
P228731,UM 29-16-272,Old Babylonian,Nippur
P228732,N 5268 +,Old Babylonian,Nippur
P228733,UM 29-16-290,Old Babylonian,Nippur
P228734,UM 29-16-292,Old Babylonian,Nippur
P228735,"EEN 303, UM 29-16-294",Old Babylonian,Nippur
P228736,UM 29-16-297,Old Babylonian,Nippur
P228737,"AfO 29/30, 032, UM 29-16-336",Old Babylonian,Nippur
P228738,"AfO 29/30, 032, UM 29-16-337",Old Babylonian,Nippur
P228739,"JCS 52, 94: 24",Middle Babylonian,Nippur
P228740,UM 29-16-379,Middle Babylonian,Nippur
P228741,"JCS 52, 091",Middle Babylonian,Nippur
P228742,N 5056 + UM 29-16-391,Old Babylonian,Nippur
P228743,UM 29-16-392,Old Babylonian,Nippur
P228744,N 6052 (+) UM 29-16-393,Old Babylonian,Nippur
P228745,"AfO 29/30, 032, UM 29-16-396",Old Babylonian,Nippur
P228746,UM 29-16-399,Old Babylonian,Nippur
P228747,"AfO 29/30, 033, UM 29-16-400",Old Babylonian,Nippur
P228748,"EEN 326, UM 29-16-402",Old Babylonian,Nippur
P228750,"AfO 29/30, 033, UM 29-16-460",Old Babylonian,Nippur
P228751,UM 29-16-466,Old Babylonian,Nippur
P228752,UM 29-16-468,Old Babylonian,Nippur
P228753,"AfO 29/30, 033, UM 29-16-469",Old Babylonian,Nippur
P228754,"AfO 29/30, 033, UM 29-16-470",Old Babylonian,Nippur
P228755,"AfO 29/30, 033, UM 29-16-491",Old Babylonian,Nippur
P228756,UM 29-16-497,Old Babylonian,Nippur
P228757,UM 29-16-511,Old Babylonian,Nippur
P228758,UM 29-16-512,Old Babylonian,Nippur
P228759,UM 29-16-514,Neo-Babylonian,Nippur
P228760,"AfO 29/30, 033, UM 29-16-520",Old Babylonian,Nippur
P228761,UM 29-16-530,Old Babylonian,Nippur
P228762,UM 29-16-536,Old Babylonian,Nippur
P228763,UM 29-16-537 + UM 29-16-538,Old Babylonian,Nippur
P228764,"EEN 324, UM 29-16-539",Old Babylonian,Nippur
P228765,UM 29-16-540,Old Babylonian,Nippur
P228766,"BPOA 09, 257",Old Babylonian,Nippur
P228767,UM 29-16-545,Old Babylonian,Nippur
P228768,UM 29-16-546,Old Babylonian,Nippur
P228769,UM 29-16-552,Old Babylonian,Nippur
P228770,"EEN 319, UM 29-16-554",Old Babylonian,Nippur
P228772,UM 29-16-558,Old Babylonian,Nippur
P228773,UM 29-16-563,Old Babylonian,Nippur
P228774,UM 29-16-571,Old Babylonian,Nippur
P228775,UM 29-16-572,Old Babylonian,Nippur
P228776,UM 29-16-574,Old Babylonian,Nippur
P228777,"AfO 29/30, 033, UM 29-16-576",Old Babylonian,Nippur
P228778,UM 29-16-577,Old Babylonian,Nippur
P228779,UM 29-16-579,Old Babylonian,Nippur
P228780,UM 29-16-581,Old Babylonian,Nippur
P228781,UM 29-16-582,Old Babylonian,Nippur
P228782,UM 29-16-583,Old Babylonian,Nippur
P228783,UM 29-16-584,Old Babylonian,Nippur
P228785,UM 29-16-587,Old Babylonian,Nippur
P228786,UM 29-16-588,Old Babylonian,Nippur
P228787,UM 29-16-602,Old Babylonian,Nippur
P228788,"EEN 261, UM 29-16-604",Old Babylonian,Nippur
P228789,UM 29-16-610,Old Babylonian,Nippur
P228790,UM 29-16-635,Old Babylonian,Nippur
P228791,UM 29-16-646,Old Babylonian,Nippur
P228792,UM 29-16-647,Old Babylonian,Nippur
P228793,UM 29-16-651,Old Babylonian,Nippur
P228794,UM 29-16-653,Old Babylonian,Nippur
P228795,"AfO 29/30, 033, UM 29-16-654",Old Babylonian,Nippur
P228796,"AfO 29/30, 033, UM 29-16-656",Old Babylonian,Nippur
P228797,"AfO 29/30, 033, UM 29-16-669",Old Babylonian,Nippur
P228798,UM 29-16-680,Old Babylonian,Nippur
P228799,UM 29-16-687,Old Babylonian,Nippur
P228800,UM 29-16-717,Old Babylonian,Nippur
P228802,"AfO 29/30, 033, UM 29-16-720",Old Babylonian,Nippur
P228803,UM 29-16-741,Old Babylonian,Nippur
P228804,UM 29-16-770,Old Babylonian,Nippur
P228805,UM 29-16-777,Old Babylonian,Nippur
P228807,UM 29-16-787,Old Babylonian,Nippur
P228808,UM 29-16-794,Old Babylonian,Nippur
P228810,UM 55-21-025,Old Babylonian,Nippur
P228811,"AfO 29/30, 037, UM 55-21-026",Old Babylonian,Nippur
P228812,UM 55-21-034,Neo-Babylonian,Nippur
P228813,UM 55-21-035,Old Babylonian,Nippur
P228814,UM 55-21-037,Old Babylonian,Nippur
P228815,"AfO 29/30, 037, UM 55-21-043",Old Babylonian,Nippur
P228816,"AfO 29/30, 038, UM 55-21-044",Old Babylonian,Nippur
P228817,"AfO 29/30, 038, UM 55-21-046",Old Babylonian,Nippur
P228818,UM 55-21-047,Old Babylonian,Nippur
P228819,"AfO 29/30, 038, UM 55-21-048",Old Babylonian,Nippur
P228820,"AfO 29/30, 038, UM 55-21-050",Old Babylonian,Nippur
P228821,"AfO 29/30, 038, UM 55-21-054",Old Babylonian,Nippur
P228822,"AfO 29/30, 038, UM 55-21-055",Old Babylonian,Nippur
P228823,"AfO 29/30, 039, UM 55-21-066",Old Babylonian,Nippur
P228824,"AfO 29/30, 039, UM 55-21-067",Old Babylonian,Nippur
P228825,"AfO 29/30, 039, UM 55-21-069",Old Babylonian,Nippur
P228826,"AfO 29/30, 039, UM 55-21-070",Old Babylonian,Nippur
P228827,"AfO 29/30, 041, UM 55-21-093",Old Babylonian,Nippur
P228830,"AfO 29/30, 041, UM 55-21-250",Old Babylonian,Nippur
P228831,UM 55-21-271,Old Babylonian,Nippur
P228832,UM 55-21-273,Old Babylonian,Nippur
P228833,UM 55-21-274,Old Babylonian,Nippur
P228834,UM 55-21-275,Old Babylonian,Nippur
P228835,"AfO 29/30, 042, UM 55-21-279",Ur III,Nippur
P228836,"AfO 29/30, 042, UM 55-21-281",Old Babylonian,Nippur
P228837,UM 55-21-291 + IM 058664,Old Babylonian,Nippur
P228838,UM 55-21-298,Old Babylonian,Nippur
P228839,UM 55-21-302,Old Babylonian,Nippur
P228840,UM 55-21-310,Old Babylonian,Nippur
P228841,A 30236 + UM 55-21-313,Old Babylonian,Nippur
P228842,UM 55-21-347,Old Babylonian,Nippur
P228843,UM 55-21-355,Old Babylonian,Nippur
P228844,UM 55-21-362,not entered,Nippur
P228845,A 30188 + UM 55-21-363 + UM 55-21-366 + UM 55-21-367 + UM w/n,Old Babylonian,Nippur
P228846,A 30287 + UM 55-21-364,Old Babylonian,Nippur
P228847,UM 55-21-389,Old Babylonian,Nippur
P228848,UM 55-21-394,Old Babylonian,Nippur
P228849,UM 55-21-395,Old Babylonian,Nippur
P228850,UM 55-21-396,Old Babylonian,Nippur
P228851,UM 55-21-398,Old Babylonian,Nippur
P228852,UM 55-21-405,Old Babylonian,Nippur
P228853,UM 55-21-406,Old Babylonian,Nippur
P228854,UM 55-21-407,Old Babylonian,Nippur
P228855,UM 55-21-412,Old Babylonian,Nippur
P228856,UM 55-21-414,Old Babylonian,Nippur
P228857,UM 55-21-416,Old Babylonian,Nippur
P228858,UM 55-21-417,Old Babylonian,Nippur
P228859,UM 55-21-418,Old Babylonian,Nippur
P228860,UM 55-21-419,Old Babylonian,Nippur
P228861,IM 058662 + IM 058663 + UM 55-21-423,Old Babylonian,Nippur
P228862,UM 55-21-424,Old Babylonian,Nippur
P228863,UM 55-21-425,Old Babylonian,Nippur
P228864,IM 058727 + UM 55-21-426,Old Babylonian,Nippur
P228865,UM 55-21-414 (+) UM 55-21-429,Old Babylonian,Nippur
P228866,UM 55-21-088,Old Babylonian,Nippur
P228867,UM 55-21-348,Old Babylonian,Nippur
P228868,UM 55-21-001,Old Babylonian,Nippur
P228869,UM 55-21-002,Old Babylonian,Nippur
P228870,UM 55-21-004,Old Babylonian,Nippur
